ID,Comment,Rubric,Length,Category,Frequency,Blank values
0,This text is very difficult to read and should be presented in a larger font.,Readability,15,3,0,
1,"I actually really like this one, it's very pleasant and the colors reflect the actual _blank_. The fonts are nice and everything seems to stand out fairly well.",Readability,28,1,0,temperature
2,Great breakdown of information from specific to broad. Overall layout shows an understanding of current UI and web trends,Readability,19,1,0,
3,outside margins violation,Readability,3,2,0,
4,"The blue/gray color palette is great but adding a third, possibly complementary colors could help highlight areas and potentially give viewers a pathway through the display",Readability,26,3,0,
5,This page may be a little too long for it to stay un-scrolling.,Readability,13,2,0,
6,These don't really provide any information.,Readability,6,2,0,
7,This poster would be more attractive with a bolder font here.,Readability,11,3,0,
8,"Use a capital T. and remove ""kinda"" it sounds unprofessional.",Readability,10,3,0,
9,"I like this overall. Nice color, contrast. Clean and professional looking.",Readability,11,1,0,
10,Nice and clean layout. Nice use of color. Date is missing and needs to be primary information.,Readability,17,3,0,
11,Watch out for the text creating tangents with the other elements here.,Readability,12,2,0,
12,The abbreviations for the days should be 3 letters instead of just two.,Readability,13,3,0,
13,"This chart is difficult to read. I think there should be some markers for weeks or days, and more indication that it is a chart. At first glance, it looks like waves.",Readability,32,3,0,
14,"The waves are partially covering this text. Also, the colors for this chart are too similar. The High and Low are too similar, so it's difficult to tell which is which.",Layout,31,2,0,
15,This space is a bit large,Layout,6,2,0,
16,"The information presented here is somewhat confusing without having to more carefully read and interpret it. Make this simpler, and use more graphics.",Layout,23,3,0,
17,"Too much dead space here, should condense the box or move the central text to the left a little.",Layout,19,3,0,
18,I don't understand what this diagram is trying to say. Something easier to understand would be better.,Layout,17,2,0,
19,Is this a graphic of waves? Or a chart? Not sure what's going on down here.,Layout,16,2,0,
20,Text is too small on these.,Layout,6,2,0,
21,"Use a better, more appealing graphic to draw the reader in. The one presented is just not appealing or interesting.",Layout,20,3,0,
22,great colors and typeface,Layout,4,1,0,
23,This graph feels like it is floating in space. An axis line might help,Layout,14,3,0,
24,poor color choice barely legible,Layout,5,2,0,
25,I would find a way to make the specified city clearer. Currently getting a bit lost but I like the idea.,Layout,21,2,0,
26,"This information-type is essentially presented twice. I like the top-most one better. It is easier to read and to understand at a glance. I am not sure that readers wish to see such weather information pertaining to one year in arrears, as is presented in",Layout,45,2,0,
27,"very clear, nice design",Layout,4,1,0,
28,"I think this section should be at the top to make it clear that it is the current forecast, as well as looking more visually balanced.",Layout,26,3,0,
29,Where is today's weather?,Balance,4,2,0,
30,"Consider the audience you are appealing to. What specific weather information is important to them? How can you either omit information, or even add weather-related detail(s) (recent data, etc.) that might be more appealing to the observer/reader?",Balance,37,3,0,
31,"Very good that I immediately know it is a weather information page. And, I see the addition of events for the week as adding some customized interest elements.",Balance,28,1,0,
32,Blue text on a blue background is not easy to read. I would suggest a slightly bolder font with white text.,Balance,21,3,0,
33,"Currently, the font, colors and line elements are coming across very 'stock' and not custom or current. Look at current trends to see what is visually appealing to people today and keep that in mind as you move forward with this.",Balance,41,3,0,
34,I like the idea of listing out events. Maybe only do a week of events vs an entire month. This way more content can fit comfortably.,Balance,26,3,0,
35,"Could probably bump the font size up 1 notch, plenty of space here.",Balance,13,3,0,
36,Section under polygon may recapitulate the information presented in a new way but it is not very helpful and makes the poster overly busy.,Balance,24,2,0,
