reviewee location,is first,section,comments,length,shortened comment,shortened length,Tricia category,Ariel category,Ailie category,Equal,Final category
left,no,Intro,"Pretty good introduction. It was well written and thorough, and it explained the means of the experiment and why it should be studied. I would give more criticism to make it better, but you're in a pretty good direction.",39,"Pretty good introduction. It was well written and thorough, and it explained the means of the experiment and why it should be studied. ",24,1,1,1,true,1
right,yes,Intro,"Good introduction, but most of it is only references. Maybe take some time to put more information that is yours rather than explain in detail the references that you found. Research is good, but maybe you can elaborate on specific parts of the study that",61,"Good introduction, but most of it is only references. ",10,2,2,2,true,2
right,yes,Intro,Nice.,1,,,1,1,1,true,1
left,no,Intro,"I believe you know more so than I what *s stand for. There are hiccups english-wise, but I see what your hypothesis is. Interesting.",24,,,1,1,1,true,1
right,yes,Intro,The author explains the reference and hypothesis excellently. The flow is clear and many psychology terms have been made. Very well organized intro,23,,,1,1,1,true,1
right,yes,Intro,"Sentences could flow a little better, they sound a little forced sometimes. ",13,,,2,2,2,true,2
left,no,Intro,More on what set's your experiment apart from the one's already out there! ,14,,,3,2,3,false,2
left,yes,Intro,"Dont forget to add your references at the end, and cite four sources",13,,,3,3,3,true,3
left,yes,Intro,"Research question is missed in introduction. But I inferred from introduction that your question is ""the effect of classical music on people's cognitive capability"". Maybe write the RQ out to make reader clear.",33,Research question is missed in introduction. ,7,2,2,2,true,2
left,yes,Intro,"For hypothesis, I wonder how do you define cognitive ability? And what does ""have the highest correlation"" specifically points to? As a reader, I want to know whether it is a positive correlation.",33,"For hypothesis, I wonder how do you define cognitive ability? And what does ""have the highest correlation"" specifically points to? ",21,2,2,3,false,2
right,no,Intro,"A study design may not include so many subjective words. I suggest to make your design more ""scientific"". Add more literature and link your research question to other scientific findings. Furthermore, you forget to write a hypothesis.  ""I have long assume",46,"A study design may not include so many subjective words. I suggest to make your design more ""scientific"". ",19,3,3,3,true,3
right,yes,Intro,"Good Introduction, a little bit confusing in the beginning as far as understanding the current view around the subject. ",20,,,2,2,2,true,2
left,no,Intro,"Other than the missing citation/source, the introduction is clear and easily understandable and addresses all of the requirements.",18,,,2,2,1,false,2
right,yes,Intro,I think the first paragraph of your introduction is not that relevant to your topic.,15,,,2,2,2,true,2
left,no,Intro,I really like your introduction section because involves with many cog science's knowledge. ,14,,,1,1,1,true,1
left,yes,Intro,"Flows very well. I would suggest however where it says, in the last paragraph of this section, ""it is hypothesized..."" I would think about maybe saying ""this study hypothesizes..."" only because you have put so many studies as sources that it took me a min",69,Flows very well. ,4,1,1,1,true,1
right,no,Intro,Okay start. I would look up for your resources something about benefits of writing or just something to do with writing. ,22,,,3,3,3,true,3
right,no,Intro,"Also, this study seems to be very popular on google scholar. Maybe tweak it a bit to make it more original. ",22,,,3,3,3,true,3
left,yes,Intro,Maybe elaborate more on the citations and how they relate to your study.,13,,,3,3,3,true,3
right,no,Intro,You make effective use of your many sources and successfully pinpoint a specific gap that's missing from these sources. You very clearly express a prediction for the experiment that shows a directional difference. Your introduction seems to correctly addr,44,You make effective use of your many sources and successfully pinpoint a specific gap that's missing from these sources. ,20,1,1,1,true,1
left,yes,Intro,"Unclear as to how the hypothesis is being operationalized. Is the experiment measuring the difference in the time it takes to complete a task, or the difference in stress levels? Is the hypothesis one or two tail?",37,Unclear as to how the hypothesis is being operationalized. ,10,2,2,2,true,2
left,yes,Intro,"The terms ""technology and procastination"" returns several results on google. Consider a more specific or unique question to research. ",20,,,3,3,3,true,3
right,no,Intro,"Good research. Further in the paper you list ways that empathy is quantified, consider moving this into the introduction so that it is clear to the reader how the hypothesis is being operationalized. ",34,Good research. ,3,1,1,1,true,1
right,yes,Intro,The introduction part is pretty clear and organized.,8,,,1,1,1,true,1
left,no,Intro,The introduction part explain the purpose of the research but further discussion could be made on the gap between literature and this research.,23,,,3,2,3,false,3
left,no,Intro,You could modify your research question a bit. It's too general and a lot of work has been done on it. Google scholar thing. ,25,,,3,3,3,true,3
left,no,Intro,You haven't predicted what you expect in your intro section. Please format it better so that we know when it ends and what it includes. ,26,You haven't predicted what you expect in your intro section. ,11,2,2,2,true,2
right,yes,Intro,The last two references could be put before you give away your research question/thesis and would help make it better. Nice introduction ! ,24,,,3,3,3,true,3
left,yes,Intro,I don't believe you cited correctly. There should be some form of parentheses around the authors names. There was a couple typos in the third paragraph. Try and make it clear how you are differentiating your research question from previous works that you ,46,I don't believe you cited correctly. There should be some form of parentheses around the authors names. ,18,3,3,3,true,3
right,no,Intro,Really good. If i had to be nitpicky I would say just make it clear that the group having no contact with animals is the control group. ,28,Really good. ,3,1,1,1,true,1
right,yes,Intro,I don't think that the first paragraph of your introduction is really necessary. Focus on what academics and other studies have shown about your topic. ,26,I don't think that the first paragraph of your introduction is really necessary. ,14,2,2,2,true,2
left,no,Intro,Soooo what's your research question? ,6,,,2,2,2,true,2
left,yes,Intro,The introduction is written well that i am able to understand what your trying to discover in the study. The Literature Review is written to an extent that it isn't just a word by word phrasing and more on the explanation in your words of their study and ,56,The introduction is written well that i am able to understand what your trying to discover in the study. ,20,1,1,1,true,1
right,yes,Intro,"The abstract was kind of difficult to understand, extremely general, and was repeated in the intro. The word ""researches"" was used too often for me to focus on what was being said. The sources were not helpful in regards to the research question. A lot of",61,"The abstract was kind of difficult to understand, extremely general, and was repeated in the intro. ",17,2,2,2,true,2
left,no,Intro,"The intro is very difficult to understand. I could not find a research question or hypothesis. I could not understand what the point of each of the sources was trying to make. It is hard to determine if the question is falsifiable, original, or even in th",72,The intro is very difficult to understand. I could not find a research question or hypothesis. ,17,2,2,2,true,2
left,no,Intro,"The hypothesis is present, but there's no explanation of how the results might show that the hypothesis is right based on specific measures. And also, there are a lot of quotes on similar studies, and some of what's the difference between your study and t",79,"The hypothesis is present, but there's no explanation of how the results might show that the hypothesis is right based on specific measures. ",24,2,2,2,true,2
left,no,Intro,Good job on your introduction! I think you'd better include your hypothesis in the introduction too.,16,,,3,1,3,false,3
left,yes,Intro,Good literature review overall but be sure to clearly explain your research question and hypothesis. The predicted outcome-- your hypothesis-- isn't directly stated in the introduction so as a reader I'm not sure what you are hypothesizing exactly. ,39,Good literature review overall but be sure to clearly explain your research question and hypothesis. ,16,3,3,3,true,3
right,no,Intro,"Typically you never see quotations in an introduction-- try to summarize and the other literature in your own words. Overall good literature review, try to edit to make the paper sound a little more professional.  ",37,Typically you never see quotations in an introduction-- try to summarize and the other literature in your own words. ,20,3,3,3,true,3
right,yes,Intro,Good literature review uses 4 sources ,7,,,1,1,1,true,1
right,yes,Intro,The hypothesis does express a directional difference but it is not based on a specific measure i.e. a difference between the answers on the questionnaires. ,26,The hypothesis does express a directional difference but it is not based on a specific measure i.e. ,18,1,2,2,false,2
left,no,Intro,Good job! ,3,,,1,1,1,true,1
right,no,Intro,"Make sure you are citing things correctly! Ex. (Author & author, 2005)",12,,,3,3,3,true,3
right,no,Intro,"Good personal hook, drawing from your experiences.",7,,,1,1,1,true,1
left,yes,Intro,"Remember to put year after citation and use & instead of ""and"" inside parentheses: Ex. (Author & Author, 2005)",19,,,3,3,3,true,3
