comments,Ariel,Tricia,Ailie,Final Category
This text is very difficult to read and should be presented in a larger font.,3,3,3,3
"I actually really like this one, it's very pleasant and the colors reflect the actual temperature. The fonts are nice and everything seems to stand out fairly well.",1,1,1,1
Great breakdown of information from specific to broad. Overall layout shows an understanding of current UI and web trends,1,1,1,1
outside margins violation,2,2,2,2
"The blue/gray color palette is great but adding a third, possibly complementary colors could help highlight areas and potentially give viewers a pathway through the display",3,3,3,3
This page may be a little too long for it to stay un-scrolling.,2,2,2,2
These don't really provide any information.,2,2,2,2
This poster would be more attractive with a bolder font here.,3,3,3,3
"Use a capital T. and remove ""kinda"" it sounds unprofessional.",3,3,3,3
"I like this overall. Nice color, contrast. Clean and professional looking.",1,1,1,1
Nice and clean layout. Nice use of color. Date is missing and needs to be primary information.,3,2,3,3
Watch out for the text creating tangents with the other elements here.,3,2,2,2
The abbreviations for the days should be 3 letters instead of just two.,3,3,3,3
"This chart is difficult to read. I think there should be some markers for weeks or days, and more indication that it is a chart. At first glance, it looks like waves.",3,3,3,3
"The waves are partially covering this text. Also, the colors for this chart are too similar. The High and Low are too similar, so it's difficult to tell which is which.",2,2,2,2
This space is a bit large,2,2,2,2
"The information presented here is somewhat confusing without having to more carefully read and interpret it. Make this simpler, and use more graphics.",2,3,3,3
"Too much dead space here, should condense the box or move the central text to the left a little.",3,3,3,3
I don't understand what this diagram is trying to say. Something easier to understand would be better.,2,2,2,2
Is this a graphic of waves? Or a chart? Not sure what's going on down here.,2,2,2,2
Text is too small on these.,2,2,2,2
"Use a better, more appealing graphic to draw the reader in. The one presented is just not appealing or interesting.",3,3,2,3
great colors and typeface,1,1,1,1
This graph feels like it is floating in space. An axis line might help,3,2,3,3
poor color choice barely legible,2,2,2,2
I would find a way to make the specified city clearer. Currently getting a bit lost but I like the idea.,3,2,2,2
"This information-type is essentially presented twice. I like the top-most one better. It is easier to read and to understand at a glance. I am not sure that readers wish to see such weather information pertaining to one year in arrears, as is presented in",2,1,2,2
"very clear, nice design",1,1,1,1
"I think this section should be at the top to make it clear that it is the current forecast, as well as looking more visually balanced.",3,2,3,3
Where is today's weather?,2,2,2,2
"Consider the audience you are appealing to. What specific weather information is important to them? How can you either omit information, or even add weather-related detail(s) (recent data, etc.) that might be more appealing to the observer/reader?",3,3,3,3
"Very good that I immediately know it is a weather information page. And, I see the addition of events for the week as adding some customized interest elements.",1,1,1,1
Blue text on a blue background is not easy to read. I would suggest a slightly bolder font with white text.,3,3,3,3
"Currently, the font, colors and line elements are coming across very 'stock' and not custom or current. Look at current trends to see what is visually appealing to people today and keep that in mind as you move forward with this.",3,3,3,3
I like the idea of listing out events. Maybe only do a week of events vs an entire month. This way more content can fit comfortably.,3,3,3,3
"Could probably bump the font size up 1 notch, plenty of space here.",3,3,3,3
Section under polygon may recapitulate the information presented in a new way but it is not very helpful and makes the poster overly busy.,2,2,2,2
"I feel like the fonts used here are somewhat bland and don't really grab the attention. I feel like introducing a little variety here would go a long way towards holding the attention of the audience. Some text is simply too small, as well - specifically ",3,2,2,3
"This ""graph"" is difficult to understand. You have to realize when someone is checking the weather they don't want to sit there for 30 minutes trying to figure out what they are seeing on the screen.",2,2,2,2
"It might be best to lose the 'Events' portion of the display. This would be good information to include if it had a more unique role such as ""Haunted Hearse Tours Today @ 3PM, best to wear a light sweater because it will be sunny but with a light breeze"" ",3,2,3,3
A white background isn't very interesting and makes things feel bland. Considering a gradient or some thematic backdrop would be neat as long as it isn't overpowering.,3,3,3,3
"No need to say ""it is"", simply put the time and date. Also remove the opinion about Florida.",3,3,3,3
Too many conflicting visuals.,2,2,2,2
This has a lot of information and it is presented pretty well. This area could be much smaller and accomplished with a sentence.,3,1,3,3
Font sizes too big and overlapping with sun icon,2,2,2,2
The graphs could be smaller and less intrusive as they clog up a lot of the space.,3,2,3,3
I think the background should be a different color as it isn't very appealing to the eyes.,3,3,3,3
Use a different color text to make this statement stand out more,3,3,3,3
this info has to be centered to its respective space,3,3,3,3
Unnecessary information.,2,2,2,2
"You lost the ""F"".",2,2,2,2
"The vital information in the image is all jumbled together. Perhaps move ""Topeka to the top right and bring the ""weekly weather"" front and center, with the grill/humidity information below it.",3,3,3,3
Very clever and nicely done. Do you intend to switch it out if the weather is cloudy? Rainy?,1,1,1,1
"Here is what I love: I love the use of the sun in the headline, the use of icons, and I actually like the photo in the background (with a little modification).",1,1,1,1
"To make more room so you can resize the 'hourly forecast' chart so it's easier to read, you could move this nice Topeka sign to the top of the poster. Maybe place it in the top-left corner and move the date/time to the top-right corner?",3,3,3,3
"The graphics are really all over the place, and lack a streamlined look. It causes the eye to be unable to adequately focus on the pertinent information.",2,2,2,2
Cannot read.,2,,2,2
"The font/graphics are rather large and spread out, causing the weather information to be overlooked. Perhaps decrease the font size for the date, time, and city, as well as minimizing the section underneath ""Topeka"", which would even be better suited for ",3,3,3,3
"The colors of they typeface is fine, but there could be more variation in fonts, and the size definitely needs some editing as previously described.",3,2,2,2
"This is really not needed, but if you are going to use it, tell me when a good day is. I don't think Thursday is a great day to grill. It also needs to look different than everything else because it is ""personalized"" information.",3,3,3,3
This is hard to read over the photo. You could add a transparent white box to help the readability of this area. You could also take the background photo and do a gradient feather so the photo fades away at the point that the texts starts. The other optio,3,3,3,3
Font size might be hard to read. Maybe it is just how I am viewing the image?...,2,2,2,2
Excellent idea!!! Are the water drops a representation of precipitation?,1,1,1,1
Consider another font,3,2,2,2
I like the idea of calling out the current temperature in a different color however I'm not sure that this color is working well on top of the background. It looks a little muddy and not as crisp as the rest of the text surrounding it.,2,2,2,2
"This is very nice! Easy to read, the text is consistent, my eye follows a logical path, the visuals representing humidity are cute and clever!",1,1,1,1
"Hard to read, can make bigger by using space better.",3,2,2,3
What do the greens indicate? It's not really clear. I would also enlarge the fonts. Difficult to read.,3,2,3,3
Nice use of iconography!,1,1,1,1
Perhaps a monthly weather or map could go here.,3,3,3,3
A little too much dead space here. Maybe input sunrise and sunset info? Just a little more filler here.,3,3,3,3
Colors need to be more harmonious.,2,2,2,2
Not enough contrast between gray and blue bg,2,2,2,2
I like the use of icons,1,1,1,1
I think perhaps it would be better if you swapped the city/state box with the box with today's weather so that is the first one they see. Other than that I see nothing wrong and everything is very legible.,3,3,3,3
Add a legend to define each symbol,3,3,3,3
This would look better probably in white.,3,3,3,3
use text that specify highs andl ows for each day,3,3,3,3
The white background makes the text difficult to read.,2,2,2,2
"Graphics are quickly recognizable Overall information is quickly & easily understood Maybe capitalize the city just to make it pop a bit more For me the, muted colors don't grab my & hold my attention",3,3,3,3
I really like the pastel color palette but here it can be a bit too muted. It's losing visual impact and getting lost. Try thoughtfully adding more contrast to draw the viewers attention appropriately.,3,3,3,3
"Overall, you need to work with the spacing with this design. Too much dead space. Don't let it go to waste. Use it!",3,2,2,3
The text could be a bit larger and the percentages written in bold to make it easier to read.,3,3,3,3
"Try adding more color to the weather icons, it would help to add a bit more interest if their were some blue and yellows in the symbols that played off the gradient background.",3,3,3,3
"dead space on top (between ""harrisburg, PA"" and the box below). The visual information is packed with great information but that particular space is too much to be breathing space.",2,2,2,2
The background color fades off a little fast and could be more pleasing with a little more coverage,3,2,3,2
"These labels are hugging the box too closely. The type needs some space around it! You have arranged the other weather symbols/day/temp/precip. in a different order down below. For consistency, you may want to arrange these boxes the same way.",3,3,3,3
Too small. Enlarge so that it is legible. The use of primary colors is TOO much and too harsh in comparison to the rest of the design.,3,2,3,3
Increase the size of the more important elements (today/tonight) and shrink the calendar.,3,3,3,3
"Very nice structure and organization. Box for weather and box for calendar feels a little detached. Perhaps aligning or having an illustration to ""connect"" both information would be helpful in providing some organization.",3,3,3,3
Try using text to indicate what type of information we are looking at. (Weekly/Monthly/Today),3,3,3,3
"good use of color, relaxing theme if a little too cute.",1,1,1,1
"Does the red sun represent a sunny day? If so, try to keep your icons consistent with what you have in the layout found below",3,3,3,3
Fantastic layout and color! Very well executed.,1,1,1,1
"I like this area, but I would slide the colors (like a color wheel). Monday and Friday are really dark. If they were the only 2 sunny days, it might make sense, but ... they aren't.",2,3,2,3
"Overall, the design is working, but the colors of the fonts are making all of the information hard to read. Even ""Denver"" in its large size is sort of blending into the background. Make sure all of your colors are working together and not over powering ea",2,3,3,3
I think the date should be listed as well.,3,3,3,3
The temperatures are small and hard to read. More area should be allocated to the weather boxes to allow these numbers to be larger.,3,3,3,3
This sun doesn't match the sun icons below. It doesn't match the color scheme of the piece and stands out too harshly like a big red dot.,2,2,2,2
"Very original design, fresh, unusual. I would certainly want to have something like that as an app on my mobile devices. Looking at it for a while now, and can't really find something I don't like. I feel that the characters should change depending on the",1,1,3,3
I would rather see a light yellow sun here. The color is stronger than any other color on the page. Stay with the softer colors. It is taking too much attention on the page the way it is and no sun is really red.,3,3,3,3
"overall I like this quite a bit easy & quick to read / understand nice, decipherable graphics & text",1,1,1,1
The SURF HEIGHT Diagram is is not needed.,2,2,2,2
"These icons are not great. The clouds look like big rocks and the sun is too pokey. Try to match the style of icons you have in the ""TODAY"" panel and keep it consistent.",3,3,3,3
Current temperature should not be the same color as header background.,3,2,2,3
Good idea!,1,1,1,1
This layout is plain and boring. Needs a better UI.,2,2,2,2
Love overall layout and the specific thought towards your audience. Overall design is clean and current.,1,1,1,1
"In this area, I feel there needs to be a numerical reference to the day and maybe the month. And, just for an 'at a glance' nudge - I would add a label to the MONTH area with TEMPERATURE because at first I thought it might be more information about surf h",3,3,3,3
"I understand that this is sundown, but the orientation of the graphic just throws me off. It may just be me :-) Just the change in color may be enough",3,2,2,2
Maybe shorten this too 1 or 2 weeks.,3,3,3,3
"You have the weather for the day noted in two areas of the bar. Too much. I would eliminate the icons below. They look too ""cutesy"" and odd. It's almost like they were placed there as an afterthought.",3,3,3,3
"The colors are kind of bland from my perspective. Nothing really jumps out at me or catches my eye, which might contribute to the fact that I can't figure out where to look for what.",2,2,2,2
It shows that you are trying to think outside of the box with your layout but your font choice is very generic. I would try to go for something fresh and current to align more with your audience who would presumably be a younger crowd who is into 'new' th,1,2,3,3
Visually unappealing.,2,2,2,2
"The icon of the man was not clear at first glance. I understand it means 'jacket weather' but this icon could be simplified, made gender neutral.",3,2,3,3
"Too many lines/graphs in a small area. Again, it just looks too busy. Simple is best.",2,2,2,2
"Right now color is being used to signify the type of weather, but what get's lost on me is when we jump from days to month overview at the end. Color could be used to help distinguish if not being used to show individual weather types.",3,2,3,3
Why is Nov placed here? It doesn't make sense. Are you predicating weather for the entire month?,2,2,2,2
This is very hard to read,2,2,2,2
The time of day ... do I assume it is current and forward... ? AM and PM may be needed for clarity or a color change in text or a background band.,2,2,3,3
"The high and low temperature should be located near the temperature of the day. Similarly, the State map, Seal and location should be in the same general location. Lastly, the extended and hourly information should also be in the same area.",3,3,3,3
"Currently reviewing this on 1920 x 1080 screen. I can't read a single thing in those 2 boxes - it will probably be readable in full screen, but I'd suggest changing the layout completely in order to enable the info boxes to be bigger.",3,3,3,3
The white background make it difficult to read the text.,2,2,2,2
Good graph and legend. A little too many boxes and empty boxes seems a little unnecessary. Create a larger size calendar if the information only extends to a week.,3,3,3,3
Is it necessary to include empty blocks?,2,2,2,2
this info could be a bit larger,3,2,3,3
The text is to small to read. there is room to make the information readable.,2,2,2,2
Space in between the two boxes seems a little unproportionate to the other breathing space on the visual information dashboard,2,2,2,2
To small,2,2,2,2
The calender.. once I get into it I can see the data and the color coding ( thank you for the legend ) but the text is small and cramped.,2,2,2,2
The background image makes it harder to read all of the information.,2,2,2,2
"This document is dark. The sun is black and it bothers me. Can we make the sun orange or yellow. If you are set on black, can you make it look more like Saturdays icon? It dominants the page at the moment.",3,3,3,3
Check spelling and punctuation.,3,3,2,3
I think a title other than 'Calendar' could better help your audience find their way around the graphic. I would be more specific,2,3,2,3
"Not really needed, but if you do use it then make is easier to read and able to tell what it is easier.",2,2,2,2
Provide units of measurement. Does the 60/70/80 refer to temperature?,3,3,3,3
"too small for a serif font on the web, very hard to read",2,2,2,2
This tree photo looks like spring?,2,2,2,2
This is a nice little chart. What about making it for the ten day extended forecast? Just not sure if anyone cares about the past temperatures.,2,2,3,3
My eyes are going all over the place.,2,2,2,2
There are some odd proportions going on with this display and the varied baseline of the text element makes it a mess for the eye. I would prefer to see them all on one line across with the baselines aligned.,2,2,3,3
I also feel the dashed vertical lines could be solid to allow the dashed data line to own the meaning instead of competing with the grid.,3,2,3,3
Highs and lows should be marked properly and organized better.,2,3,2,3
This layout is plain,2,2,2,2
"Days of week font color could be difference (navy blue or same orange as ""Today"") to make optics clearer..",3,3,3,3
"When you move these to the center, increase the size as to promote them as the most important area of the design.",3,3,3,3
You say next month but are showing info from 2 weeks ago all the way up to next month.,2,2,2,2
Text is too small on these to read from a distance.,2,2,2,2
There is no city indicated.,2,2,2,2
"Too much info, making to interface too cluttered. Delete ""Today"" and ""Next Month"" graphs.",3,2,3,3
