ID,rubric number,rubric item,score,comments,length,category,frequency,,,original comment
0,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,"Relatively more detailed, more relatable POV",6,2,0,1 = like,,
1,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,"Okay POV, but I think the _blank_ has more spotlight than the actual users of it!",16,2,3,2 = wish,,
2,1,Point of view takes a high-level look at a deep user need w/o providing a solution,0,"We want to look for needs rather than solutions (i.e. ""visualizing histories"")",12,2,0,3 = 'here's how'/suggest,,
3,1,Point of view takes a high-level look at a deep user need w/o providing a solution,0,POV needs to state the core problem,7,3,0,,,
4,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,I like this POV,4,1,1,,,
5,1,Point of view takes a high-level look at a deep user need w/o providing a solution,0,POV could probably be expanded on a bit more with why people aren't motivated enough to _blank_.,17,3,1,,,
6,1,Point of view takes a high-level look at a deep user need w/o providing a solution,0,"You've taken an interesting stance, but it needs direction.",9,2,0,,,
7,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,"Good, this is less taboo due to multifaceted point of view. Still, try to move more toward unexplored domains.",19,3,0,,,
8,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,"OK POV, but this is now taboo. Consider a multifaceted approach or a new topic altogether.",16,3,0,,,
9,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,Excellent,1,1,4,,,
10,1,Point of view takes a high-level look at a deep user need w/o providing a solution,0,Can you be more insightful/go into more depth?,8,2,1,,,
11,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,The user need could be deeper/identified better,7,2,0,,,
12,1,Point of view takes a high-level look at a deep user need w/o providing a solution,0,POV is too generic,4,2,1,,,
13,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,The first two storyboards kinda approach the POV the same way.,11,2,0,,,
14,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,The storyboards don't really touch upon the _blank_ concept you mentioned in your POV.,14,2,0,,,
15,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,"These storyboards assume that _blank_ is inherently competitive, but is it really? Why would _blank_ motivate someone more?",20,2,0,,,
16,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,"The storyboards aren't really focused on _blank_, more so just the _blank_ component.",13,2,0,,,
