ID,rubric question number,rubric item number,rubric item,score,comments,length,category,frequency,frequency original
0,2,0 1 8 10,Prototype is at least somewhat functional in a non-trivial way.,0,Your routes aren't loading on the _blank_ screen.,8,2,0,0
1,2,0 1 8 10,Prototype is at least somewhat functional in a non-trivial way.,1,Add some questions asked by users,6,3,0,0
2,2,0 1 8 10,Prototype is at least somewhat functional in a non-trivial way.,1,AWESOME,1,1,0,0
3,2,0 1 8 10,Prototype is at least somewhat functional in a non-trivial way.,1,i need your github repo link,6,3,0,0
4,2,0 1 8 10,Prototype is at least somewhat functional in a non-trivial way.,1,Please check that the links are clickable!,7,3,1,1
5,2,0 1 8 10,Prototype is fully functional,0,cant add _blank_,3,2,0,0
6,2,0 1 8 10,Prototype is fully functional,0,Not there yet,3,2,0,0
7,2,0 1 8 10,Prototype is fully functional,1,You're basically there,3,1,0,0
8,2,0 1 8 10,Prototype is fully functional,1,"it's basically there, impressed so far. you do have more work to do, but the functionality is there.",18,1,0,0
9,2,0 1 8 10,Prototype is fully functional,1,"the user needs more orientation than the video, it's still a little confusing, but it looks good",17,2,0,0
10,2,0 1 8 10,Prototype is fully functional,0,_blank_ features seem not to be working.,7,2,4,2
11,2,0 1 8 10,Prototype is fully functional,1,Good work :),3,1,0,0
12,2,0 1 8 10,Prototype is fully functional,0,_blank_ only works partially (and appears to be the most important part of the app).,15,2,0,0
13,2,0 1 8 10,Prototype is fully functional,0,"App is functional, but there still isn't a clear way to add _blank_",13,2,0,0
14,2,0 1 8 10,Prototype is fully functional,0,Some functionality issues: some of the icons don't link anywhere. ,10,2,1,1
15,2,0 1 8 10,Prototype is fully functional,0,Nothing in _blank_ options currently. ,5,2,0,0
16,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,0,"major bug = broken navigation, some _blank_ are wonky",9,2,0,0
17,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,1,can be considered passable,4,1,0,0
18,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,1,"This is minor, but Users are able to submit empty information. Not sure if that's intended",16,2,0,0
19,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,0,Error when clicked the _blank_ button.,6,2,0,0
20,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,0,"When the _blank_ modal view is up, there is no way to dismiss it.",14,2,0,0
21,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,0,Removing _blank_ does not work.,5,2,0,0
22,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,1,Good job.,2,1,1,0
23,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,1,"it's ready, but it still comes across very confusingly. some orientation for the user would help.",16,3,1,1
24,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,1,"close enough. needs a little more polish, but no major issues.",11,1,0,0
25,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,1,"more visualizations and interaction with them, basically there",8,3,0,0
26,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,1,"i believe it lacks interactivity and fails to orient the user very well, but it doesn't have major bugs",19,2,1,0
27,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,0,_blank_ is the only bug I can see.,8,2,0,0
28,2,0 1 8 10,Prototype is free of major bugs and ready for user testing.,0,_blank_ doesn't show any instructions for what to do.,9,2,0,0
29,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",1,can still be polished in terms of layout. and what options are possible,13,2,2,1
30,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",0,missing alot of content per se. can be made into something more creative than a simple _blank_,17,2,0,0
31,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",1,can be polished in terms of navigation layout and making it smoother with some of the placement of buttons,19,3,0,0
32,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",1,"while it looks nice, needs more in terms of implementation",10,2,0,0
33,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",1,just needs minor tweaking in terms of design such as being mobile responsive,13,3,0,0
34,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",1,"Clean visual design :) However, for new users, the app doesn't provide pointers about what to expect to see there",20,2,0,0
35,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",1,Unlabeled icons in the hamburger menu is an odd choice.,10,2,0,0
36,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",1,There's at least one glaring typo.,6,2,0,0
37,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",0,Interface elements are cut off in responsive mode. Please let me know if it works better in some other config.,20,2,0,0
38,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",1,Visual elements such as headers look inconsistent.,7,2,0,0
39,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",1,"basically there, but needs improvement",5,2,1,1
40,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",1,Main issue is the sizing issue.,6,2,0,0
41,2,9,"While not fully polished, the overall look and feel is reflective of the final prototype.",1,"Not bad, but could use a little more visual design",10,2,0,0
42,2,7,Prototype's interaction flow is easy to understand. First-time users can go from screen to screen and know what functions they can perform.,1,would like to be taken to preferences first before seeing the _blank_,12,3,0,0
43,2,7,Prototype's interaction flow is easy to understand. First-time users can go from screen to screen and know what functions they can perform.,1,"can be somewhat confusing in terms of symbols being used actually, but ok enough to receive the point",18,2,0,0
44,2,7,Prototype's interaction flow is easy to understand. First-time users can go from screen to screen and know what functions they can perform.,1,need better user orientation. easy to get lost.,8,2,0,0
45,2,7,Prototype's interaction flow is easy to understand. First-time users can go from screen to screen and know what functions they can perform.,1,It's still is a bit confusing... talk to me for more nuanced feedback.,13,2,0,0
46,2,7,Prototype's interaction flow is easy to understand. First-time users can go from screen to screen and know what functions they can perform.,1,See that existing _blank_ data is more complete.,8,2,0,0
47,2,7,Prototype's interaction flow is easy to understand. First-time users can go from screen to screen and know what functions they can perform.,0,"it's still disjointed, as mentioned. needs more clarity.",8,2,0,0
48,2,7,Prototype's interaction flow is easy to understand. First-time users can go from screen to screen and know what functions they can perform.,1,mostly. make sure to clarify how _blank_ works. add some examples.,11,3,0,0
49,2,7,Prototype's interaction flow is easy to understand. First-time users can go from screen to screen and know what functions they can perform.,0,Symbols and navigation are might be a bit confusing for a new user,13,2,0,0
50,4,0 1 2,All of your code is publicly viewable on GitHub.,1,Please provide a link next time.,6,3,0,0
51,4,0 1 2,All of your code is publicly viewable on GitHub.,1,make sure to push regularly,5,3,0,0
52,2,2 3 4 5 6,Your code uses templates to render data from a JSON file or (optionally) a database rather than copying & pasting hand-written hard-coded HTML into multiple files.,0,no Json being loaded,4,2,0,0
53,2,2 3 4 5 6,Your code uses templates to render data from a JSON file or (optionally) a database rather than copying & pasting hand-written hard-coded HTML into multiple files.,0,You aren't writing to a db :(,7,2,0,0
54,2,2 3 4 5 6,Your code uses templates to render data from a JSON file or (optionally) a database rather than copying & pasting hand-written hard-coded HTML into multiple files.,0,Could not verify this due to the lack of Github URL,11,2,0,0
55,2,2 3 4 5 6,Your code uses templates to render data from a JSON file or (optionally) a database rather than copying & pasting hand-written hard-coded HTML into multiple files.,1,Good work!,2,1,0,0
56,2,2 3 4 5 6,Your code uses templates to render data from a JSON file or (optionally) a database rather than copying & pasting hand-written hard-coded HTML into multiple files.,1,Not seeing a require or template render anywhere,8,2,0,0
57,2,2 3 4 5 6,Your code uses templates to render data from a JSON file or (optionally) a database rather than copying & pasting hand-written hard-coded HTML into multiple files.,1,I noticed you have a lot of html pages. I wonder if rendering your JSON through handlebars might be easier?,20,3,0,0
58,1,0 1 2 3 7 8,Protocol gives step-by-step instructions on how to perform the user testing; it could be used by another person to reproduce the same user test.,1,Please select all relevant pages in the PDF.,8,3,1,0
59,1,0 1 2 3 7 8,"Protocol includes ""scripts"", which include the exact words that a facilitator would say to the participant, to ensure consistency across all tests.",0,"Detailed protocol but there isn't any ""script""",7,2,5,2
60,1,0 1 2 3 7 8,"Protocol includes ""scripts"", which include the exact words that a facilitator would say to the participant, to ensure consistency across all tests.",0,Missing consent form.,3,2,3,0
61,1,0 1 2 3 7 8,"Protocol includes ""scripts"", which include the exact words that a facilitator would say to the participant, to ensure consistency across all tests.",0,Some of the instructions are more general and not really scripts,11,2,2,0
62,1,4 6,Protocol is well-designed. It is clear why specific steps are taken & the instructions and scripts do not bias/lead the user in one particular direction.,1,well detailed,2,1,0,0
63,1,4 6,Protocol is well-designed. It is clear why specific steps are taken & the instructions and scripts do not bias/lead the user in one particular direction.,0,"The steps are too directive and detailed, biasing users to specific directions at each point of interaction.",17,2,4,1
64,1,4 6,Protocol is well-designed. It is clear why specific steps are taken & the instructions and scripts do not bias/lead the user in one particular direction.,1,"Try reducing the focus on interface elements/details, phrasing it more naturally instead.",12,3,1,0
65,1,4 6,Protocol is well-designed. It is clear why specific steps are taken & the instructions and scripts do not bias/lead the user in one particular direction.,1,It seems a bit artificial to ask a user to assume a persona.,13,2,0,0
66,1,4 6,Protocol is well-designed. It is clear why specific steps are taken & the instructions and scripts do not bias/lead the user in one particular direction.,0,very sparse and too directly guiding the user. plan to ask more questions and gather more input.,17,3,0,0
67,1,4 6,Protocol is well-designed. It is clear why specific steps are taken & the instructions and scripts do not bias/lead the user in one particular direction.,1,Avoid using quantitative scales for your interview questions because these will not garner you good insights.,16,2,0,0
68,1,5 6,Protocol plans to test a completed feature of the app that contributes meaningfully to the app's overall goal.,1,task is not really completed per se in terms of functionality,11,2,0,0
69,1,5 6,Protocol plans to test a completed feature of the app that contributes meaningfully to the app's overall goal.,1,The plan for testing is complete but please design and provide users higher level tasks.,15,3,1,0
