,rubric question number,rubric item number,rubric item,score,comments,length,category,frequency,frequency original
0,4,4,Signed consent forms & photos/sketches of each observant are submitted.,1,Please provide the entire form for the record!,8,3,0,0
1,4,4,Signed consent forms & photos/sketches of each observant are submitted.,1,Missing 2nd consent form.,4,2,0,0
2,4,4,Signed consent forms & photos/sketches of each observant are submitted.,1,Good job in recruiting four interviewees,6,1,0,0
3,4,4,Signed consent forms & photos/sketches of each observant are submitted.,0,The consent forms aren't filled in?,6,2,0,0
4,4,4,Signed consent forms & photos/sketches of each observant are submitted.,0,consent forms are from the same person...,7,2,0,0
5,1,0 1 2 3,Notes taken from performing the user testing protocol on at least TWO users are submitted.,1,"Notes provided, but notes should be more detailed about the user's entire process using the app",16,3,0,0
6,1,0 1 2 3,Notes taken from performing the user testing protocol on at least TWO users are submitted.,0,Unmet,1,2,1,0
7,1,0 1 2 3,Notes taken from performing the user testing protocol on at least TWO users are submitted.,1,Great job in compiling detailed observations!,6,1,0,0
8,1,0 1 2 3,Notes taken from performing the user testing protocol on at least TWO users are submitted.,1,It's a bit difficult to understand the notes because we don't have as much context.,15,2,0,0
9,1,0 1 2 3,Notes taken from performing the user testing protocol on at least TWO users are submitted.,1,why is one of your team members user testing? :/,10,2,0,0
10,1,2 3 4,"Notes from the first user include breakdowns, errors, or design improvements inspired by that user's testing session.",1,Good job :),3,1,0,0
11,1,2 3 4,"Notes from the first user include breakdowns, errors, or design improvements inspired by that user's testing session.",1,"Even though it's good to use scripted questions, notes should be more elaborate and detailed.",15,2,0,0
12,1,2 3 4,"Notes from the first user include breakdowns, errors, or design improvements inspired by that user's testing session.",1,Lots of confusion and misunderstanding observed from the users. Think about how the app is structured around user scenarios,19,3,0,0
13,1,2 3 4,"Notes from the second user include breakdowns, errors, or design improvements inspired by that user's testing session.",1,Notes should be more detailed than just one picture and caption per user.,13,2,0,0
14,1,2 3 4,"Notes from the second user include breakdowns, errors, or design improvements inspired by that user's testing session.",1,"Because your app assumes the existence of _blank_, I think it would have been great if you could include interaction through them as well while testing.",26,3,0,0
15,1,5 6 7,"List of changes demonstrates changes that your team plans to implement, based off the user testing observations and subsequent discussions.",0,No list of changes provided,5,2,0,0
16,1,5 6 7,"List of changes demonstrates changes that your team plans to implement, based off the user testing observations and subsequent discussions.",1,"Make sure that these are incorporated in the development plan! Also, note the rubric.",14,3,0,0
17,1,5 6 7,"List of changes demonstrates changes that your team plans to implement, based off the user testing observations and subsequent discussions.",1,I like the _blank_ a lot.,6,1,0,0
18,1,5 6 7,"List of changes demonstrates changes that your team plans to implement, based off the user testing observations and subsequent discussions.",1,Great and detailed list of changes,6,1,1,1
19,2/4,3/0 1,"The original and alternative redesign webpage URLs are submitted. (i.e. myapp.herokuapp.com/homepage, myapp.herokuapp.com/homepage2)",1,The redesigns need to be in one Heroku app.,9,3,0,0
20,2/4,3/0 1,"The original and alternative redesign webpage URLs are submitted. (i.e. myapp.herokuapp.com/homepage, myapp.herokuapp.com/homepage2)",1,Please provide clickable links!,4,3,0,0
21,2/4,3/0 1,"The original and alternative redesign webpage URLs are submitted. (i.e. myapp.herokuapp.com/homepage, myapp.herokuapp.com/homepage2)",1,"It appears that both the original and ""redesigned"" app link to the same url.",14,2,0,0
22,2/4,3/0 1,"The original and alternative redesign webpage URLs are submitted. (i.e. myapp.herokuapp.com/homepage, myapp.herokuapp.com/homepage2)",1,second link not working,4,2,0,0
23,2/4,3/0 1,"The original and alternative redesign webpage URLs are submitted. (i.e. myapp.herokuapp.com/homepage, myapp.herokuapp.com/homepage2)",1,"first link doesnt work, but i can understand what you're testing",11,2,0,0
24,2,0,"The redesigned webpage is fully interactive, functional, and ready for online A/B testing next week.",1,I am getting an Internal Server Error for both links,10,2,0,0
25,2,0,"The redesigned webpage is fully interactive, functional, and ready for online A/B testing next week.",0,I'm not sure that this is the most meaningful redesign you could make to test usability.,16,2,0,0
26,2,0,"The redesigned webpage is fully interactive, functional, and ready for online A/B testing next week.",0,The _blank_ are in the same place in both URLs. Am I looking in the wrong place?,17,2,0,0
27,2,0,"The redesigned webpage is fully interactive, functional, and ready for online A/B testing next week.",0,Couldn't test this as both URLs took me to the same version.,12,2,0,0
28,2,0,"The redesigned webpage is fully interactive, functional, and ready for online A/B testing next week.",1,Cool functionality!,2,1,0,0
29,2,0,"The redesigned webpage is fully interactive, functional, and ready for online A/B testing next week.",1,Good job with the functionality!,5,1,0,0
30,2,0,"The redesigned webpage is fully interactive, functional, and ready for online A/B testing next week.",0,_blank_ appears to be buggy,5,2,0,0
31,2,1 2 4,"The redesign only changed a single feature of one page of the app, thus making it possible to test with A/B testing.",0,URL links give me Internal Server Error,7,2,0,0
32,2,1 2 4,"The redesign only changed a single feature of one page of the app, thus making it possible to test with A/B testing.",1,Again couldn't test this as both URLs navigated to same version.,11,2,0,0
33,2,1 2 4,"The redesign only changed a single feature of one page of the app, thus making it possible to test with A/B testing.",1,[Points for the redesign prototype.],5,1,0,0
34,2,1 2 4,"The redesign only changed a single feature of one page of the app, thus making it possible to test with A/B testing.",1,Make sure to isolate a single difference between the two versions -- otherwise it'll be hard to reason about different user's behavior,22,3,0,0
35,2,1 2 4,"The redesign only changed a single feature of one page of the app, thus making it possible to test with A/B testing.",1,I agree; it'll be more consistent to have the _blank_ button positioned on the righthand side of the _blank_,19,3,0,0
36,2,1 2 4,"The redesign only changed a single feature of one page of the app, thus making it possible to test with A/B testing.",1,Be careful with your two differences in experiment one; I'd like to see the effect of the _blank_ and the _blank_ separately in A9.,24,3,0,0
37,2,1 2 4,"The redesign only changed a single feature of one page of the app, thus making it possible to test with A/B testing.",1,being generous with this one. i think you should redesign heavily and then just pick one small feature to change. ,20,3,0,0
38,2,1 2 4,"The redesign only changed a single feature of one page of the app, thus making it possible to test with A/B testing.",1,"Wauw, _blank_",2,1,0,0
39,2,1 2 4,"The redesign only changed a single feature of one page of the app, thus making it possible to test with A/B testing.",1,good a/b test,3,1,0,0
40,2,1 2 4,"The redesign only changed a single feature of one page of the app, thus making it possible to test with A/B testing.",1,"you still have an additional _blank_ button at the bottom, seems redundant",12,2,0,0
41,2,5 6,The planned A/B test will involve measuring a quantifiable user behavior suitable for a chi-square test.,1,I would avoid using the _blank_ test because that will be difficult to quantifiably measure accurately.,16,3,0,0
