ID,rubric number,rubric item,score,comments,length,category,frequency,original comment
0,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,"Relatively more detailed, more relatable POV",6,2,0,"Relatively more detailed, more relatable POV"
1,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,"Okay POV, but I think the _blank_ has more spotlight than the actual users of it!",16,2,3,"Okay POV, but I think the closet has more spotlight than the actual users of it!"
2,1,Point of view takes a high-level look at a deep user need w/o providing a solution,0,"We want to look for needs rather than solutions (i.e. ""visualizing histories"")",12,2,0,"We want to look for needs rather than solutions (i.e. ""visualizing histories"")"
3,1,Point of view takes a high-level look at a deep user need w/o providing a solution,0,POV needs to state the core problem,7,3,0,POV needs to state the core problem
4,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,I like this POV,4,1,1,I like this POV
5,1,Point of view takes a high-level look at a deep user need w/o providing a solution,0,POV could probably be expanded on a bit more with why people aren't motivated enough to _blank_.,17,3,1,POV could probably be expanded on a bit more with why people aren't motivated enough to exercise.
6,1,Point of view takes a high-level look at a deep user need w/o providing a solution,0,"You've taken an interesting stance, but it needs direction.",9,2,0,"You've taken an interesting stance, but it needs direction."
7,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,"Good, this is less taboo due to multifaceted point of view. Still, try to move more toward unexplored domains.",19,3,0,"Good, this is less taboo due to multifaceted point of view. Still, try to move more toward unexplored domains."
8,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,"OK POV, but this is now taboo. Consider a multifaceted approach or a new topic altogether.",16,3,0,"OK POV, but this is now taboo. Consider a multifaceted approach or a new topic altogether."
9,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,Excellent,1,1,4,Excellent
10,1,Point of view takes a high-level look at a deep user need w/o providing a solution,0,Can you be more insightful/go into more depth?,8,2,1,Can you be more insightful/go into more depth?
11,1,Point of view takes a high-level look at a deep user need w/o providing a solution,1,The user need could be deeper/identified better,7,2,0,The user need could be deeper/identified better
12,1,Point of view takes a high-level look at a deep user need w/o providing a solution,0,POV is too generic,4,2,1,POV is too generic
13,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,The first two storyboards kinda approach the POV the same way.,11,2,0,The first two storyboards kinda approach the POV the same way.
14,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,The storyboards don't really touch upon the _blank_ concept you mentioned in your POV.,14,2,0,"The storyboards don't really touch upon the ""routine"" concept you mentioned in your POV."
15,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,"These storyboards assume that _blank_ is inherently competitive, but is it really? Why would _blank_ motivate someone more?",20,2,0,"These storyboards assume that task-completion is inherently competitive, but is it really? Why would giving someone points motivate someone more?"
16,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,"The storyboards aren't really focused on _blank_, more so just the _blank_ component.",13,2,0,The storyboards aren't really focused on tasks more so just the planning component.
17,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,The _blank_ storyboard is the only one that really shows the _blank_ component of your ideas.,16,2,0,The 2nd storyboard is the only one that really shows the game component of your ideas.
18,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,"Too caption-heavy, try making better use of speech bubbles!",9,3,0,"Too caption-heavy, try making better use of speech bubbles!"
19,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,Somewhat text-heavy.,2,2,0,Somewhat text-heavy.
20,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,"Try to keep details to a minimum. Storyboards are not meant to be elaborately illustrated. Good drawing, though :)",19,3,0,"Try to keep details to a minimum. Storyboards are not meant to be elaborately illustrated. Good drawing, though :)"
21,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,Avoid using a pen completely!,5,3,0,Avoid using a pen completely!
22,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,The first storyboard should have used a thicker instrument -- it's just not the same with a pen.,18,3,0,The first storyboard should have used a thicker instrument -- it's just not the same with a pen.
23,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,Doesn't really show how the app solves the problems,9,2,0,Doesn't really show how the app solves the problems
24,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,"Great storyboards, but taboo/uninspired solutions.",5,2,0,"Great storyboards, but taboo/uninspired solutions."
25,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,These aren't different solutions.,4,2,0,These aren't different solutions.
26,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,"Too many words. These solutions are not divergent enough, it's the same basic premise underneath.",15,2,0,"Too many words. These solutions are not divergent enough, it's the same basic premise underneath."
27,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,Being generous here. #_blank_ is not detailed enough.,8,2,0,Being generous here. #3 is not detailed enough.
28,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,_blank_ doesn't seem feasible/practical,4,2,0,#3 doesn't seem feasible/practical
29,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,I really like the idea in the _blank_ panel in #_blank_.,13,1,0,I really like the idea in the second to last panel in #3.
30,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,_blank_ doesn't address the POV. _blank_ is good.,8,2,0,#2 doesn't address the POV. #3 is good.
31,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,"Because the POV is incorrect, the storyboards are not engaging with the POV correctly.",14,2,0,"Because the POV is incorrect, the storyboards are not engaging with the POV correctly."
32,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,Storyboard #_blank_ needs to have a little more detail about how the user interacts with the app...,17,3,0,Storyboard #3 needs to have a little more detail about how the user interacts with the app...
33,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,"They are very, very similar. I'll give you the point though since the app itself is differing with each storyboard",20,2,0,"They are very, very similar. I'll give you the point though since the app itself is differing with each storyboard"
34,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,Plus 1 for the _blank_ joke on storyline _blank_ :D,9,1,1,1 for the hair joke on storyline 1 :D
35,3,Storyboards are drawn with a Sharpie or thick marker to focus on high-level design.,1,Tip: having panels would provide some structure to the storyboard.,10,3,0,Tip: having panels would provide some structure to the storyboard.
36,3,Storyboards are drawn with a Sharpie or thick marker to focus on high-level design.,1,"Good ideas, but there could be many alternatives that already exist: try to think how your offering is novel.",19,3,0,"Good ideas, but there could be many alternatives that already exist: try to think how your offering is novel."
37,3,Storyboards are drawn with a Sharpie or thick marker to focus on high-level design.,0,Storyboards are too focused on the dialogue which draws away from the high level design.,15,2,0,Storyboards are too focused on the dialogue which draws away from the high level design.
38,4,Storyboards’ sequences are easy to follow. Someone else could come up with a distinct prototype that would correspond with the point of view just from looking at the storyboard,0,It would be difficult to develop a prototype from these storyboards alone.,12,2,0,It would be difficult to develop a prototype from these storyboards alone.
39,4,Storyboards’ sequences are easy to follow. Someone else could come up with a distinct prototype that would correspond with the point of view just from looking at the storyboard,1,"Reduce the focus on how the interface would be, otherwise crisp :)",12,3,0,"Reduce the focus on how the interface would be, otherwise crisp :)"
