ID,rubric number,rubric item,score,comments,length,category,frequency,frequency original,original comment
0,2,"Development plan is included in the submitted PDF itself (rather than a link), is easy for your TA to read and understand, lists specific tasks, who on the team is responsible for each task, and estim",0,Include columns for estimated time and actual time taken.,9,3,1,1,Include columns for estimated time and actual time taken.
1,2,"Development plan is included in the submitted PDF itself (rather than a link), is easy for your TA to read and understand, lists specific tasks, who on the team is responsible for each task, and estim",1,"You can break down the tasks more into smaller bits, shoot for less than 30 mins per task",18,3,1,0,"You can break down the tasks more into smaller bits, shoot for less than 30 mins per task"
2,2,"Development plan is included in the submitted PDF itself (rather than a link), is easy for your TA to read and understand, lists specific tasks, who on the team is responsible for each task, and estim",1,Nice plan,2,1,4,0,Nice plan
3,2,"Development plan is included in the submitted PDF itself (rather than a link), is easy for your TA to read and understand, lists specific tasks, who on the team is responsible for each task, and estim",1,Please provide a more readable (it's fairly pixelated) development plan.,10,3,0,0,Please provide a more readable (it's fairly pixelated) development plan and talk to me briefly after lab tomorrow.
4,2,"Development plan is included in the submitted PDF itself (rather than a link), is easy for your TA to read and understand, lists specific tasks, who on the team is responsible for each task, and estim",0,"tasks too broad, not actionable",5,2,0,0,"tasks too broad, not actionable"
5,2,"Development plan is included in the submitted PDF itself (rather than a link), is easy for your TA to read and understand, lists specific tasks, who on the team is responsible for each task, and estim",1,"Be careful about distribution of work. Make sure to input any potential schedule conflicts (i.e. midterms, out of town, etc.)",20,3,0,0,"Be careful about distribution of work. Make sure to input any potential schedule conflicts (i.e. midterms, out of town, etc.)"
6,2,"Development plan is included in the submitted PDF itself (rather than a link), is easy for your TA to read and understand, lists specific tasks, who on the team is responsible for each task, and estim",0,You haven't mentioned who on the team is responsible for specific tasks.,12,2,3,3,You haven't mentioned who on the team is responsible for specific tasks.
7,3a,Wireframes convey the task or goal of the page. Another person can look at the wireframe and understand what function the page will serve.,0,links don't work.,3,2,0,0,links don't work.
8,3a,Wireframes convey the task or goal of the page. Another person can look at the wireframe and understand what function the page will serve.,1,Nice interactive wireframe!,3,1,0,0,Nice interactive wireframe!
9,3a,Wireframes convey the task or goal of the page. Another person can look at the wireframe and understand what function the page will serve.,1,The wireframe images are pretty blurry so it's difficult to see a lot of the finer details.,17,2,0,0,The wireframe images are pretty blurry so it's difficult to see a lot of the finer details.
