ID,rubric question number,rubric item number,rubric item,score,comments,length,category,frequency,frequency original,original comment,
0,1,0,"The ""Revisit POV & Inspiration"" paragraph summarizes the POV and inspirations that connect to how the prototype is being designed.",1,Not entirely sure where the _blank_ components come into play still..,11,2,0,0,Not entirely sure where the motivation or game-like components come into play still..,
1,1,0,"The ""Revisit POV & Inspiration"" paragraph summarizes the POV and inspirations that connect to how the prototype is being designed.",1,Good,1,1,0,0,Good,
2,1,0,"The ""Revisit POV & Inspiration"" paragraph summarizes the POV and inspirations that connect to how the prototype is being designed.",1,Great POV,2,1,1,0,Great POV,
3,1,0,"The ""Revisit POV & Inspiration"" paragraph summarizes the POV and inspirations that connect to how the prototype is being designed.",0,This sounds more like a description of the app than the inspiration.,12,2,0,0,This sounds more like a description of the app than the inspiration.,
9,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,0,Can't see your Github to determine if this rubric point has been satisfied.,13,2,1,1,Can't see your Github to determine if this rubric point has been satisfied.,"Interesting thoughts, but try to articulate them better (and we can help during office hours)! It's odd that you mention that your original POV wasn't worded well but don't attempt rewording. Note that a POV doesn't talk about your application but the problem space it addresses."
10,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,1,Can't find where the json files are rendered.,8,2,0,0,Can't find where the json files are rendered.,You haven't posted your Github link.
11,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,1,your data structure could be nested better,7,2,0,0,your data structure could be nested better,"Use better git commit messages. ""ughh"", ""asdf"", etc aren't real messages. Having better messages makes rolling back easier in case a commit breaks your system. You can look at some sample commit messages from a repo I was working on: https://github.com/alok-sm/crowdsBackend/commits/master"
12,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,1,"your github repo is not updated, and it needs to be for grading.",13,2,0,0,"your github repo is not updated, and it needs to be for grading.",The link on the doesn't work if you copy-paste it. Converting to PDF messes things up. Make sure you make it a clickable link on the pdf. PDF messes up text at times.
13,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,1,good,1,1,0,0,good,I'm surprised that all commits are by a single account. Please talk to me about this.
14,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,0,do not see a data file,6,2,0,0,do not see a data file,Try to have more balanced code contributions from each of you.
15,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,1,"You guys got real-like data unlike other teams, so good job!",11,1,0,0,"You guys got real-like data unlike other teams, so good job!",I'm not sure which branch is to be checked.
16,2,0,The app screen(s) that reads JSON data from the server is able to do so successfully and without error,1,I don't know which screen uses json data cause I can't see the json data.,15,2,1,1,I don't know which screen uses json data cause I can't see the json data.,using mongo db
17,2,0,The app screen(s) that reads JSON data from the server is able to do so successfully and without error.,0,Where is the JSON data rendered in the app?,9,2,2,0,Where is the JSON data rendered in the app?,Note to other instructors: This team uses an AWS hosted DB and not a JSON. Giving them points since this is the case.
