ID,rubric question number,rubric item number,rubric item,score,comments,length,category,frequency,frequency original,blank words,original comment
0,1,0,Evidence that the A/B test has been performed on at least 20 users (i.e. screenshots of Google Analytics dashboards for your app).,0,Your analytics says you only had _blank_ users?,8,2,1,0,3,You analytics says you only had 3 users?
1,1,0,Evidence that the A/B test has been performed on at least 20 users (i.e. screenshots of Google Analytics dashboards for your app).,1,Good job! It's an interesting app with fine design. Hope you've had some fun this quarter in studio.,18,1,0,0,,Good job! It's an interesting app with fine design. Hope you've had some fun this quarter in studio.
2,1,0,Evidence that the A/B test has been performed on at least 20 users (i.e. screenshots of Google Analytics dashboards for your app).,1,Good job with the logo!,5,1,0,0,,Good job with the logo! Hope you've had some fun this quarter in studio.
3,1,0,Evidence that the A/B test has been performed on at least 20 users (i.e. screenshots of Google Analytics dashboards for your app).,0,no screenshots,2,2,1,0,,no screenshots
4,1,2 3,"Statistical analysis is included, showing all mathematical work involved (think of it as showing your work on a math problem).",0,Calculation of your expected values not shown,7,2,0,0,,Calculation of your expected values not shown
5,1,2 3,"Statistical analysis is included, showing all mathematical work involved (think of it as showing your work on a math problem).",0,"Online resources can be used to verify your results, but the actual chi-square formula should be shown.",17,3,0,0,,"Online resources can be used to verify your results, but the actual chi-square formula should be shown."
6,1,2 3,"Statistical analysis is included, showing all mathematical work involved (think of it as showing your work on a math problem).",0,Your calculations for the expected value should be shown as well,11,3,0,0,,Your calculations for the expected value should be shown as well
7,1,2 3,"Statistical analysis is included, showing all mathematical work involved (think of it as showing your work on a math problem).",1,It would have been nice if there were more description about the subjects of in-person testing and the condition of it.,21,3,0,0,,It would have been nice if there were more description about the subjects of in-person testing and the condition of it.
8,1,2 3,"Statistical analysis is included, showing all mathematical work involved (think of it as showing your work on a math problem).",0,I could not find the calculations,6,2,0,0,,I could not find the calculations
9,1,2 3,"Statistical analysis is included, showing all mathematical work involved (think of it as showing your work on a math problem).",0,"Details about how the data was collected are fuzzy. If you can clarify, I'm happy to restore this point.",19,2,0,0,,"Details about how the data was collected are fuzzy. If you can clarify, I'm happy to restore this point."
10,1,2 3,"Statistical analysis is included, showing all mathematical work involved (think of it as showing your work on a math problem).",0,Do you mean to say you have _blank_ users test the app?,12,2,0,0,150+,Do you mean to say you have 150+ users test the app?
11,1,2 3,"Statistical analysis is correctly calculated, with the appropriate variable type used for the statistical test conducted.",0,I'm not quite sure how you inferred your values...,9,2,0,0,,I'm not quite sure how you inferred your values...
12,1,2 3,"Statistical analysis is correctly calculated, with the appropriate variable type used for the statistical test conducted.",0,"P-value not listed. Because your p-value determines significance, this should have been included in the calculation.",16,3,0,0,,"P-value not listed. Because your p-value determines significance, this should have been included in the calculation."
13,1,2 3,"Statistical analysis is correctly calculated, with the appropriate variable type used for the statistical test conducted.",0,What does _blank_ and _blank_ mean? How are you measuring these?,11,2,0,0,"""like"", ""dislike""","What does ""like"" and ""dislike"" mean? How are you measuring these?"
14,1,2 3,"Statistical analysis is correctly calculated, with the appropriate variable type used for the statistical test conducted.",0,I don't think number of pages is an appropriate variable here. Number of clicks might be a better measure.,19,3,0,0,,I don't think number of pages is an appropriate variable here. Number of clicks might be a better measure.
15,1,2 3,"Statistical analysis is correctly calculated, with the appropriate variable type used for the statistical test conducted.",0,"There's no expected value calculation for the _blank_ condition and therefore, the derived chi-squared value is incorrect.",17,2,0,0,no-click,"There's no expected value calculation for the no-click condition and therefore, the derived chi-squared value is incorrect."
16,1,2 3,"Statistical analysis is correctly calculated, with the appropriate variable type used for the statistical test conducted.",0,Unmet,1,2,0,0,,Unmet
17,1,2 3,"Statistical analysis is correctly calculated, with the appropriate variable type used for the statistical test conducted.",0,Steps are not shown.,4,2,0,0,,Steps are not shown.
18,1,2 3,"Statistical analysis is correctly calculated, with the appropriate variable type used for the statistical test conducted.",0,You ought to have included more of the calculations rather than just a line of calculation which I can't understand.,20,3,0,0,,You ought to have included more of the calculations rather than just a line of calculation which I can't understand.
19,1,2 3,"Statistical analysis is correctly calculated, with the appropriate variable type used for the statistical test conducted.",0,invalid chi square,3,2,1,0,,invalid chi square
20,1/2,4/0 3,"Conclusion drawn from A/B test is written, and is based off the results of the statistical analysis.",0,It's difficult to draw a conclusion from the analysis because of the use of non-categorical data in the chi-squared test.,3,2,0,0,,It's difficult to draw a conclusion from the analysis because of the use of non-categorical data in the chi-squared test.
21,1/2,4/0 3,"Conclusion drawn from A/B test is written, and is based off the results of the statistical analysis.",1,"I'm not sure how your values were inferred, but conclusion is correct based on the given calculations.",17,2,0,0,,"I'm not sure how your values were inferred, but conclusion is correct based on the given calculations."
22,1/2,4/0 3,"Conclusion drawn from A/B test is written, and is based off the results of the statistical analysis.",1,"Correct analysis for the clicks, but again, the time data was not analyzed",13,2,0,0,,"Correct analysis for the clicks, but again, the time data was not analyzed"
23,1/2,4/0 3,"Conclusion drawn from A/B test is written, and is based off the results of the statistical analysis.",1,"Although the underlying statistics are incorrect, the conclusion was derived in a consistent line of reaonsing",16,2,0,0,,"Although the underlying statistics are incorrect, the conclusion was derived in a consistent line of reaonsing"
24,1/2,4/0 3,"Conclusion drawn from A/B test is written, and is based off the results of the statistical analysis.",0,Unmet,1,2,0,0,,Unmet
25,1/2,4/0 3,"Conclusion drawn from A/B test is written, and is based off the results of the statistical analysis.",1,"Not much of a conclusion. Needs more discussion about what the results tell us, and why.",16,3,0,0,,"Not much of a conclusion. Needs more discussion about what the results tell us, and why."
26,2,6,App has a clear interaction flow that makes usability understandable to new users.,1,The one thing that's unclear with the app is how the _blank_ are calculated and what the user can do with the _blank_,23,2,0,0,"Points, points",The one thing that's unclear with the app is how the Points are calculated and what the user can do with the points
27,2,6,App has a clear interaction flow that makes usability understandable to new users.,0,I think it can be confusing for first-time users when they first enter the front page of the app.,19,2,0,0,,I think it can be confusing for first-time users when they first enter the front page of the app.
28,2,6,App has a clear interaction flow that makes usability understandable to new users.,0,your app is not working.,5,2,0,0,,your app is not working.
29,3,2 3 4 5 6,App interface is aesthetically polished.,1,"Interface could use more visual design components, but it's simple enough to understand",1,2,0,0,,"Interface could use more visual design components, but it's simple enough to understand"
30,3,2 3 4 5 6,App interface is aesthetically polished.,1,"A hamburger menu isn't the best choice here, for that matter.",11,2,0,0,,"A hamburger menu isn't the best choice here, for that matter."
31,3,2 3 4 5 6,App interface is aesthetically polished.,0,The second web page could be made better. The _blank_ look cluttered with the actual _blank_.,16,2,0,0,"directions, map",The second web page could be made better. The directions look cluttered with the actual map.
32,3,2 3 4 5 6,App interface is aesthetically polished.,0,I suggest using a design framework like Bootstrap for starters.,10,3,0,0,,I suggest using a design framework like Bootstrap for starters.
33,2,5,Functionality of prototype is complete. No more bugs found!,1,Minor change would be to add an _blank_ category for the _blank_ categories,13,3,0,0,"""Other"", Expenses","Minor change would be to add an ""Other"" category for the Expenses categories"
34,2,5,Functionality of prototype is complete. No more bugs found!,1,App doesn't seem to be fully functional. Seems like most of the functionality were hard-coded into the application.,18,2,0,0,,App doesn't seem to be fully functional. Seems like most of the functionality were hard-coded into the application.
35,2,5,Functionality of prototype is complete. No more bugs found!,1,"still slightly buggy in the sense of certain stuff being unimplemented, but I'll consider it as wizard of oz",19,2,0,0,,"still slightly buggy in the sense of certain stuff being unimplemented, but I'll consider it as wizard of oz"
36,2,5,Functionality of prototype is complete. No more bugs found!,1,"There is no actual submit button for _blank_, but there is one for _blank_?",14,2,0,0,"memories, bucketlist","There is no actual submit button for memories, but there is one for bucketlist?"
37,2,5,Prototype is ready to be presented and doesn't need any more details or polishing.,1,The _blank_ page bug is the main reason for this point off.,12,2,0,0,Profile,The Profile page bug is the main reason for this point off.
38,2,5,Prototype is ready to be presented and doesn't need any more details or polishing.,0,"Although it's polished than before, I think there's still some potential to enhance the app's usability and interactivity",18,2,0,0,,"Although it's polished than before, I think there's still some potential to enhance the app's usability and interactivity"
39,2,5,Prototype is ready to be presented and doesn't need any more details or polishing.,0,Good job in creating the first version of the app. ,10,1,0,0,,Good job in creating the first version of the app.
40,2,5,Prototype is ready to be presented and doesn't need any more details or polishing.,0,Great job in implementing the _blank_ functionality and the overall functionality of the app! ,14,1,0,0,chat,Great job in implementing the chat functionality and the overall functionality of the app!
41,2,5,Prototype is ready to be presented and doesn't need any more details or polishing.,0,Removing a _blank_ doesn't work?,5,2,0,0,workout,Removing a workout doesn't work?
42,2,5,Prototype is ready to be presented and doesn't need any more details or polishing.,0,I see 'undefined' in the _blank_ on the home page.,10,2,0,0,badges,I see 'undefined' in the badges on the home page.
43,2,5,Prototype is ready to be presented and doesn't need any more details or polishing.,0,Can't seem to add a _blank_.,6,2,0,0,recipe,Can't seem to add a recipe.
44,2,5,Prototype is ready to be presented and doesn't need any more details or polishing.,1,"could be polished more, but as of now its fine to be presented",13,1,0,0,,"could be polished more, but as of now its fine to be presented"
45,2,6,Accomplishing a primary goal in the app does not require the user to make unnecessary steps.,1,Some of the steps necessary to the end user-goal feels lengthy,11,2,0,0,,Some of the steps necessary to the end user-goal feels lengthy
46,2,6,Accomplishing a primary goal in the app does not require the user to make unnecessary steps.,1,Good incremental improvement!,3,1,0,0,,Good incremental improvement!
47,2,6,Accomplishing a primary goal in the app does not require the user to make unnecessary steps.,0,Expected functionality would include changing/removing _blank_.,6,2,0,0,groups,Expected functionality would include changing/removing groups (maybe based on when a quarter/semester ends).
48,3,4,Prototype follows an aesthetic design that is consistent across webpages.,1,"Navigation could do with some improvements, but I'm nitpicking.",9,2,0,0,,"Navigation could do with some improvements, but I'm nitpicking."
49,3,4,Prototype follows an aesthetic design that is consistent across webpages.,1,The application _blank_ being manually set is a bit clumsy.,10,2,0,0,status,"The application status being manually set is a bit clumsy (also, it does not show at times)."
50,3,6,Prototype contains text that is easy to read (i.e. no white text on light background or vice versa) on all webpages.,1,Nice simple design!,3,1,0,0,,Nice simple design!
51,3,0 1,A family-friendly and tasteful final name for the app is submitted.,1,I like the logo!,4,1,0,0,,I like the logo!
52,3,0 1,A family-friendly and tasteful final name for the app is submitted.,1,The choice of colors probably has just enough contrast.,9,1,0,0,,The choice of colors (beige/similar and light green) probably has just enough contrast.
53,3,0 1,A family-friendly and tasteful final name for the app is submitted.,0,Use of _blank_ on a _blank_ background offers little contrast to ease readability.,13,2,0,0,"maroon/dark red, black",Use of maroon/dark red on a black background offers little contrast to ease readability.
