assignment,comments,length,shortened comment,shortened length,Ailie category,Tricia category,Ariel category,Equal,Final category
1,great work,2,,,1,1,1,true,1
1,"good idea, does it exist already?",6,,,1,1,1,true,1
1,"well done, could have just used your video questions",9,,,2,2,1,false,1
1,nice work,2,,,1,1,1,true,1
1,don't see your questions on the online submission - let me know if I should check your physical submission for these!,21,,,2,2,3,false,3
1,sketch more,2,,,2,2,2,true,2
1,Brainstorming: put more focus into generating a number of diverse concepts (possible solutions),13,,,3,3,3,true,3
1,"sketch separately from prototype, brainstorm more",6,,,3,3,3,true,3
1,"1 point off for prototype being so short, overall good job!",11,,,2,2,1,false,2
1,Well done!,2,,,1,1,1,true,1
1,nice work,2,,,1,1,1,true,1
1,Well done!,2,,,1,1,1,true,1
1,Didn't see video questions on your online submission. Let me know if I should check your physical turn-in.,18,,,2,2,3,false,3
1,ensure you are completing entire assignment,6,,,3,3,2,false,3
1,Well done! ,3,,,1,1,1,true,1
1,Well done!,2,,,1,1,1,true,1
1,Nice work -- ensure you complete entire assignment -- no prototype present,12,,,3,2,1,false,3
1,"The questions for the video don't need to be as long, but should be on separate topics. Both your questions were about 1 particular example from the videos. ",29,"The questions for the video don't need to be as long, but should be on separate topics. ",18,3,3,3,true,3
1,Prototype: could be a little bit more telling and expanded as something a partner can interact with. ,18,,,3,2,3,false,3
1,good work -- please label assignments to ensure clarity of what is what,13,,,3,3,3,true,3
1,good interview,2,,,1,1,1,true,1
1,Well done!,2,,,1,1,1,true,1
1,Well done!,2,,,1,1,1,true,1
1,"Great job! Don't see your video questions in the online submission. Let me know if I should check your physical turn-in. Also, your app idea reminds me of this: http://beyondsmalltalk.com ",31,Great job! Don't see your video questions in the online submission. Let me know if I should check your physical turn-in. ,22,2,2,3,false,3
1,Good job!,2,,,1,1,1,true,1
1,Missing video questions. ,4,,,2,2,2,true,2
1,No questions component. Sketch should be visual (not just words).,10,,,3,3,2,false,3
1,Dig a little deeper on your point of view to generate more insightful ideas,14,,,2,2,2,true,2
1,"Don't see the video questions, but otherwise good job!",9,,,2,2,1,false,2
1,Sketch/Prototype stage separation,3,,,2,2,2,true,2
1,Missing questions.,2,,,2,2,2,true,2
1,"where are questions? great effort, like the web way to brainstorm.",11,,,2,1,1,false,2
1,"The response to the video need to be questions, not just comments. ",13,,,3,3,3,true,3
1,I don't see your video questions. Let me know if they're attached to your physical submissions. ,17,,,2,2,3,false,3
1,Great job! Try to brainstorm more ideas and connect them more with your interview.,14,,,3,3,3,true,3
1,Prototype and sketch should be separate,6,,,3,3,2,false,3
1,good ideas from thorough ideation and iteration. interview really tells a story.,12,,,1,1,1,true,1
1,Well done! ,3,,,1,1,1,true,1
1,Well done. ,3,,,1,1,1,true,1
1,Missing in class worksheet,4,,,2,2,2,true,2
1,Dig a little deeper on your Point of View,9,,,2,3,2,false,2
1,Missing in class worksheet,4,,,2,2,2,true,2
1,Well done! ,3,,,1,1,1,true,1
1,Would be interesting to see how discovery via emotion plays a role in the future ,16,,,3,2,2,false,2
1,great work,2,,,1,1,1,true,1
1,Well done! Just missing video questions.,6,,,2,2,1,false,2
1,Interview questions could have been more general.,7,,,3,3,2,false,2
1,"Overall good. Could have Looking for 2 questions, not a question and a comment. Was looking for a more fleshed out prototype.",22,,,3,3,2,false,3
1,nice work ,3,,,1,1,1,true,1
1,nice job,2,,,1,1,1,true,1
1,ensure you complete entire assignment -- no prototypes present.,9,,,3,3,2,false,3
1,Brainstorming: focus on generating a diverse set of concepts rather than worrying too much about laying out the details of few potential solutions.,23,,,3,3,3,true,3
1,"Well done! Interesting approach with a more specific problem that if solved, can lead to better experiences overall for Freshman. ",21,,,1,1,1,true,1
1,"directions were to fill out worksheet packet twice. despite this, your work is really well done. questions also missing.",19,,,2,2,2,true,2
1,treated sketch as prototype,4,,,2,2,2,true,2
1,Well done! Just missing video questions.,6,,,2,2,1,false,2
1,Well done! Just missing video questions.,6,,,2,2,1,false,2
1,"appreciate the humor, but use that effort for going deeper. good job, regardless.",13,,,2,2,2,true,2
1,I liked your prototype,4,,,1,1,1,true,1
1,Brainstorming: should focus more on generating more diverse concepts. Two might not be be spread wide enough to search for those global maxima,23,,,3,3,3,true,3
1,nice work -- ensure you complete the entire assignment -- no feedback or video questions.,15,,,3,3,2,false,3
1,"Missing the ideas, sketch, prototype, and testing",7,,,2,2,2,true,2
1,good work -- would like to see a wider range of ideas during ideation,14,,,3,2,2,false,3
1,Brainstorming: you'll want to focus on generating a more diverse set of concepts. The two you had were pretty limited by their similarity.,23,,,3,3,3,true,3
1,Prototype: this should be separate from the details. Something that a user testing can interact with and not be pre-informed by complete descriptions/explanations. ,24,,,3,3,3,true,3
1,Could have dug deeper in the interviews for some better insights.,11,,,2,2,2,true,2
1,Dig a little deeper on your Point of View,9,,,2,2,2,true,2
1,nice work ,3,,,1,1,1,true,1
1,Would have liked to see more sketches for the prototype. Video questions should be about subject matter of videos directly. ,21,,,3,3,3,true,3
1,i like the price center redesign idea.,8,,,1,1,1,true,1
1,No actual questions in the video questions!,7,,,2,2,2,true,2
1,Your prototype looks more connected to the studio brief than the interview on the freshman experience. ,17,,,2,2,2,true,2
1,please use provided materials as they scaffold the design thinking process accordingly,12,,,3,3,2,false,3
1,great work,2,,,1,1,1,true,1
1,The interest based dorms solution could be fleshed out a bit more - what differentiates it from the traditional matching survey? Prototype is incomplete,24,,,3,2,3,false,3
1,"ideate more, kinda fixated",4,,,2,2,2,true,2
1,great work,2,,,1,1,1,true,1
1,Well done! ,3,,,1,1,1,true,1
